method,display,k,minimum_source_cells,included_source_clusters,included_source_cells,equal_cluster_weight_recall,source_cell_weighted_recall
cuml_umap,cuML UMAP,3,1000,17,1305364,0.5098039215686274,0.719818890873861
cuml_umap,cuML UMAP,3,10000,15,1294801,0.5555555555555556,0.724394199057101
cuml_umap,cuML UMAP,4,0,20,1306127,0.4625,0.7177315069667805
cuml_umap,cuML UMAP,4,1000,17,1305364,0.5,0.7181079377093286
cuml_umap,cuML UMAP,4,10000,15,1294801,0.5333333333333333,0.7220207970182291
cuml_umap,cuML UMAP,5,0,20,1306127,0.48,0.73677536717333
cuml_umap,cuML UMAP,5,1000,17,1305364,0.5294117647058824,0.7371715475530197
cuml_umap,cuML UMAP,5,10000,15,1294801,0.5599999999999999,0.7408508334485376
cuml_umap,cuML UMAP,6,0,20,1306127,0.4583333333333333,0.7200134443281548
cuml_umap,cuML UMAP,6,1000,17,1305364,0.5,0.7203303701751643
cuml_umap,cuML UMAP,6,10000,15,1294801,0.5333333333333333,0.7242613601111935
cuml_umap,cuML UMAP,7,0,20,1306127,0.4642857142857143,0.6744292750354949
cuml_umap,cuML UMAP,7,1000,17,1305364,0.5042016806722689,0.6746699442782681
cuml_umap,cuML UMAP,7,10000,15,1294801,0.5238095238095238,0.6773409306030148
cuml_umap,cuML UMAP,8,0,20,1306127,0.50625,0.7076738134959311
cuml_umap,cuML UMAP,8,1000,17,1305364,0.5367647058823529,0.707880043420839
cuml_umap,cuML UMAP,8,10000,15,1294801,0.5666666666666667,0.7111760803397588
cuml_umap,cuML UMAP,9,0,20,1306127,0.5277777777777778,0.6949826982113275
cuml_umap,cuML UMAP,9,1000,17,1305364,0.5620915032679739,0.6951544209550405
cuml_umap,cuML UMAP,9,10000,15,1294801,0.5925925925925927,0.6981479522078425
cuml_umap,cuML UMAP,10,0,20,1306127,0.5700000000000001,0.688085844638385
cuml_umap,cuML UMAP,10,1000,17,1305364,0.5941176470588235,0.6882091125540462
cuml_umap,cuML UMAP,10,10000,15,1294801,0.6266666666666667,0.6909870319840655
cuml_tsne,cuML t-SNE,1,0,20,1306127,0.35,0.6081728652726726
cuml_tsne,cuML t-SNE,1,1000,17,1305364,0.35294117647058826,0.6084341225895612
cuml_tsne,cuML t-SNE,1,10000,15,1294801,0.4,0.6133977344781167
cuml_tsne,cuML t-SNE,2,0,20,1306127,0.325,0.4249640348909409
cuml_tsne,cuML t-SNE,2,1000,17,1305364,0.35294117647058826,0.42516531787302236
cuml_tsne,cuML t-SNE,2,10000,15,1294801,0.36666666666666664,0.4266883482481092
cuml_tsne,cuML t-SNE,3,0,20,1306127,0.3333333333333333,0.39173730170700594
cuml_tsne,cuML t-SNE,3,1000,17,1305364,0.37254901960784315,0.39193486772016584
cuml_tsne,cuML t-SNE,3,10000,15,1294801,0.3777777777777777,0.39241293964606655
cuml_tsne,cuML t-SNE,4,0,20,1306127,0.375,0.3938669440261169
cuml_tsne,cuML t-SNE,4,1000,17,1305364,0.4264705882352941,0.39407360705519684
cuml_tsne,cuML t-SNE,4,10000,15,1294801,0.45,0.39524896103725593
cuml_tsne,cuML t-SNE,5,0,20,1306127,0.42000000000000004,0.4037605837717158
cuml_tsne,cuML t-SNE,5,1000,17,1305364,0.44705882352941184,0.4038608388158398
cuml_tsne,cuML t-SNE,5,10000,15,1294801,0.4533333333333334,0.40389233557898085
cuml_tsne,cuML t-SNE,6,0,20,1306127,0.4333333333333333,0.41166925829826145
cuml_tsne,cuML t-SNE,6,1000,17,1305364,0.4509803921568627,0.41171504653108254
cuml_tsne,cuML t-SNE,6,10000,15,1294801,0.4555555555555556,0.41170599446041
cuml_tsne,cuML t-SNE,7,0,20,1306127,0.4928571428571429,0.4958628503528808
cuml_tsne,cuML t-SNE,7,1000,17,1305364,0.5126050420168067,0.4959077643148906
cuml_tsne,cuML t-SNE,7,10000,15,1294801,0.5238095238095238,0.49645709484093914
cuml_tsne,cuML t-SNE,8,0,20,1306127,0.49375,0.5099993147680126
cuml_tsne,cuML t-SNE,8,1000,17,1305364,0.5,0.5100100431756965
cuml_tsne,cuML t-SNE,8,10000,15,1294801,0.5083333333333333,0.5106250883340374
cuml_tsne,cuML t-SNE,9,0,20,1306127,0.5333333333333334,0.5650627134012747
cuml_tsne,cuML t-SNE,9,1000,17,1305364,0.5359477124183007,0.5650787400636484
cuml_tsne,cuML t-SNE,9,10000,15,1294801,0.5555555555555556,0.5665369942305163
cuml_tsne,cuML t-SNE,10,0,20,1306127,0.575,0.6073904758113108
cuml_tsne,cuML t-SNE,10,1000,17,1305364,0.5882352941176471,0.6074532467572263
cuml_tsne,cuML t-SNE,10,10000,15,1294801,0.6133333333333334,0.6091456524979515
cellranger_tsne,Cell Ranger t-SNE,1,0,20,1306127,0.2,0.12230051135915573
cellranger_tsne,Cell Ranger t-SNE,1,1000,17,1305364,0.17647058823529413,0.12227777079803027
cellranger_tsne,Cell Ranger t-SNE,1,10000,15,1294801,0.13333333333333333,0.11938436871766395
cellranger_tsne,Cell Ranger t-SNE,2,0,20,1306127,0.275,0.3481889586540972
cellranger_tsne,Cell Ranger t-SNE,2,1000,17,1305364,0.29411764705882354,0.3483453657370664
cellranger_tsne,Cell Ranger t-SNE,2,10000,15,1294801,0.3,0.34924169814512035
cellranger_tsne,Cell Ranger t-SNE,3,0,20,1306127,0.3499999999999999,0.4085710399269494
cellranger_tsne,Cell Ranger t-SNE,3,1000,17,1305364,0.3725490196078431,0.4087654222628069
cellranger_tsne,Cell Ranger t-SNE,3,10000,15,1294801,0.39999999999999986,0.4108031530199106
cellranger_tsne,Cell Ranger t-SNE,4,0,20,1306127,0.3875,0.48235202242967185
cellranger_tsne,Cell Ranger t-SNE,4,1000,17,1305364,0.4117647058823529,0.482590871205273
cellranger_tsne,Cell Ranger t-SNE,4,10000,15,1294801,0.4166666666666667,0.4836096434896173
cellranger_tsne,Cell Ranger t-SNE,5,0,20,1306127,0.41000000000000003,0.506998783426114
cellranger_tsne,Cell Ranger t-SNE,5,1000,17,1305364,0.43529411764705883,0.507252842885203
cellranger_tsne,Cell Ranger t-SNE,5,10000,15,1294801,0.42666666666666675,0.5075000714395496
cellranger_tsne,Cell Ranger t-SNE,6,0,20,1306127,0.4749999999999999,0.5521905603360163
cellranger_tsne,Cell Ranger t-SNE,6,1000,17,1305364,0.48039215686274506,0.5523649597609045
cellranger_tsne,Cell Ranger t-SNE,6,10000,15,1294801,0.47777777777777775,0.5529175268374573
cellranger_tsne,Cell Ranger t-SNE,7,0,20,1306127,0.55,0.6008723282104813
cellranger_tsne,Cell Ranger t-SNE,7,1000,17,1305364,0.5630252100840336,0.6010184570302668
cellranger_tsne,Cell Ranger t-SNE,7,10000,15,1294801,0.5714285714285714,0.6019231637029275
cellranger_tsne,Cell Ranger t-SNE,8,0,20,1306127,0.56875,0.5756757382704745
cellranger_tsne,Cell Ranger t-SNE,8,1000,17,1305364,0.5735294117647058,0.5757666060960774
cellranger_tsne,Cell Ranger t-SNE,8,10000,15,1294801,0.5833333333333334,0.5764787407485783
cellranger_tsne,Cell Ranger t-SNE,9,0,20,1306127,0.6111111111111112,0.6128195973456044
cellranger_tsne,Cell Ranger t-SNE,9,1000,17,1305364,0.6143790849673203,0.6128945217153564
cellranger_tsne,Cell Ranger t-SNE,9,10000,15,1294801,0.6148148148148148,0.6129717573931781
cellranger_tsne,Cell Ranger t-SNE,10,0,20,1306127,0.6449999999999999,0.6461987999635563
cellranger_tsne,Cell Ranger t-SNE,10,1000,17,1305364,0.6529411764705882,0.6462313193867764
cellranger_tsne,Cell Ranger t-SNE,10,10000,15,1294801,0.66,0.6466460869276436
