dataset,basis,metric,dire_method,competitor,competitor_display,pair_id_field,paired_record_count,paired_ids,dire_mean,competitor_mean,paired_gap_competitor_minus_dire_mean,paired_gap_std,paired_gap_values,relative_gap_vs_competitor,descriptive_paired_standardized_gap
tenx,subset,q99_dtw_beta1,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.074075,0.0833,0.009224999999999997,0.0059060350489986094,"[0.009499999999999995, 0.0050000000000000044, 0.011499999999999996, 0.006249999999999992, 0.01725, 0.020750000000000005, 0.004750000000000004, 0.005249999999999998, 0.009749999999999995, 0.002249999999999995]",0.1107442977190876,1.5619616076548903
tenx,subset,q99_bottleneck_beta0,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",2.687212553767567,2.687212553767567,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,
tenx,subset,q99_bottleneck_beta1,dire_auto,pca2,PCA (2D),subset_id,10,"0,1,2,3,4,5,6,7,8,9",0.05233834839185558,0.05020354492906602,-0.0021348034627895543,0.004094535082595658,"[0.0, -0.012435159656070269, -0.0034298045604738425, -0.005483070411351432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0425229625877192,-0.5213787205936538
tenx,layout,dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.19000000000000003,0.07066666666666667,-0.11933333333333333,0.008427385913397667,"[-0.12875, -0.11249999999999999, -0.11675]",-1.6886792452830188,-14.160183781737098
tenx,layout,dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.050249999999999996,0.04783333333333334,-0.0024166666666666664,0.0031655699855370955,"[-0.005999999999999998, -0.0012500000000000011, 0.0]",-0.05052264808362368,-0.7634222834143519
tenx,layout,bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.3910366892814636,0.3910366892814636,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.03427926575144132,0.01339245525499185,-0.02088681049644947,0.0034615091780207862,"[-0.020231027156114578, -0.02462930418550968, -0.01780010014772415]",-1.5595953168231946,-6.034018522635287
tenx,layout,q99_dtw_beta0,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.41383333333333333,0.40975,-0.004083333333333328,0.007072540797572906,"[-0.012249999999999983, 0.0, 0.0]",-0.00996542607280861,-0.5773502691896257
tenx,layout,q99_dtw_beta1,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.08925,0.08908333333333333,-0.00016666666666666682,0.002673169155390909,"[-0.0007500000000000007, -0.0025000000000000022, 0.0027500000000000024]",-0.0018709073900841926,-0.06234796863885497
tenx,layout,q99_bottleneck_beta0,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",2.6149994367508933,2.6149994367508933,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,q99_bottleneck_beta1,dire_auto,cuml_tsne,cuML t-SNE,layout_seed,3,"42,43,44",0.13134666928990152,0.13134666928990152,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,dtw_beta0,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.19000000000000003,0.14874999999999997,-0.04125000000000001,0.012392033731393741,"[-0.035250000000000004, -0.033, -0.05550000000000002]",-0.277310924369748,-3.328751429678411
tenx,layout,dtw_beta1,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.050249999999999996,0.061,0.010750000000000001,0.008877640452282353,"[0.0020000000000000018, 0.010499999999999995, 0.019750000000000004]",0.17622950819672134,1.2109073416277276
tenx,layout,bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.3910366892814636,0.3910366892814636,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.03427926575144132,0.027584608644247055,-0.0066946571071942644,0.004318701671188751,"[-0.004135157912969589, -0.011680874973535538, -0.004267938435077667]",-0.242695381092183,-1.5501550273444835
tenx,layout,q99_dtw_beta0,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.41383333333333333,0.40841666666666665,-0.005416666666666681,0.0007216878364870488,"[-0.0050000000000000044, -0.006250000000000033, -0.0050000000000000044]",-0.013262599469496057,-7.505553499464981
tenx,layout,q99_dtw_beta1,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.08925,0.09508333333333334,0.005833333333333334,0.0036600318759996207,"[0.009749999999999995, 0.0025000000000000022, 0.005250000000000005]",0.06134969325153374,1.5937930408707561
tenx,layout,q99_bottleneck_beta0,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",2.6149994367508933,2.6149994367508933,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,q99_bottleneck_beta1,dire_auto,cuml_umap,cuML UMAP,layout_seed,3,"42,43,44",0.13134666928990152,0.13134666928990152,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.19000000000000003,0.18433333333333332,-0.005666666666666671,0.009802210635021751,"[-0.004500000000000004, 0.003500000000000003, -0.016000000000000014]",-0.030741410488245958,-0.5781008874080471
tenx,layout,dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.050249999999999996,0.055749999999999994,0.005499999999999998,0.0023848480035423662,"[0.005249999999999998, 0.008, 0.003249999999999996]",0.09865470852017935,2.3062266407882173
tenx,layout,bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.3910366892814636,0.3910366892814636,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.03427926575144132,0.031205276027321815,-0.0030739897241195044,0.004625267139287427,"[-0.0012195538729429245, -0.008338706567883492, 0.00033629126846790314]",-0.09850865351833675,-0.6646080391787027
tenx,layout,q99_dtw_beta0,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.41383333333333333,0.413,-0.0008333333333333526,0.001909406539564923,"[-0.0025000000000000022, -0.0012500000000000289, 0.0012499999999999734]",-0.0020177562550444373,-0.4364357804719972
tenx,layout,q99_dtw_beta1,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.08925,0.08875,-0.0005000000000000051,0.0035443617196894515,"[0.0034999999999999892, -0.0017500000000000016, -0.003250000000000003]",-0.005633802816901466,-0.1410691231717213
tenx,layout,q99_bottleneck_beta0,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",2.6149994367508933,2.6149994367508933,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,q99_bottleneck_beta1,dire_auto,dire,DiRe (IVF-Flat control),layout_seed,3,"42,43,44",0.13134666928990152,0.13134666928990152,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
tenx,layout,dtw_beta0,dire_auto,dire_spectral,DiRe (spectral init),layout_seed,3,"42,43,44",0.19000000000000003,0.28575,0.09575,0.009627434756984847,"[0.08600000000000002, 0.10525000000000001, 0.09599999999999997]",0.3350831146106737,9.945536107687664
tenx,layout,dtw_beta1,dire_auto,dire_spectral,DiRe (spectral init),layout_seed,3,"42,43,44",0.050249999999999996,0.05383333333333334,0.003583333333333332,0.006884463184107626,"[0.0002500000000000002, -0.0010000000000000009, 0.011499999999999996]",0.06656346749226004,0.52049567809517
tenx,layout,bottleneck_beta0,dire_auto,dire_spectral,DiRe (spectral init),layout_seed,3,"42,43,44",0.3910366892814636,0.3910366892814636,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,
